




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (6138)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (expected)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (over/under)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (FDR)
termination of RNA polymerase II transcription (GO:0006369)	40	27	11.92	+	2.26	1.89E-03	4.19E-02
protein localization to chromosome (GO:0034502)	69	39	20.56	+	1.90	1.85E-03	4.10E-02
regulation of sensory perception (GO:0051931)	41	2	12.22	-	.16	1.83E-03	4.05E-02
neutrophil degranulation (GO:0043312)	482	188	143.65	+	1.31	1.81E-03	4.03E-02
positive regulation of chromatin organization (GO:1905269)	121	60	36.06	+	1.66	1.80E-03	4.01E-02
negative regulation of mRNA metabolic process (GO:1903312)	93	49	27.72	+	1.77	1.79E-03	4.00E-02
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	58	35	17.29	+	2.02	1.78E-03	3.97E-02
neutrophil chemotaxis (GO:0030593)	77	8	22.95	-	.35	1.77E-03	3.95E-02
aerobic respiration (GO:0009060)	160	75	47.69	+	1.57	1.75E-03	3.91E-02
cytokinesis (GO:0000910)	98	51	29.21	+	1.75	1.68E-03	3.76E-02
response to biotic stimulus (GO:0009607)	1547	389	461.06	-	.84	1.67E-03	3.76E-02
protein maturation (GO:0051604)	244	106	72.72	+	1.46	1.67E-03	3.75E-02
regulation of nervous system process (GO:0031644)	146	22	43.51	-	.51	1.67E-03	3.75E-02
regulation of nucleocytoplasmic transport (GO:0046822)	111	56	33.08	+	1.69	1.65E-03	3.73E-02
actin-mediated cell contraction (GO:0070252)	89	10	26.52	-	.38	1.65E-03	3.72E-02
retinoid metabolic process (GO:0001523)	108	14	32.19	-	.43	1.64E-03	3.72E-02
regulation of type I interferon production (GO:0032479)	133	65	39.64	+	1.64	1.60E-03	3.63E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	47	30	14.01	+	2.14	1.60E-03	3.63E-02
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	43	23.25	+	1.85	1.59E-03	3.61E-02
mRNA destabilization (GO:0061157)	90	48	26.82	+	1.79	1.55E-03	3.53E-02
regulation of DNA biosynthetic process (GO:2000278)	110	56	32.78	+	1.71	1.55E-03	3.53E-02
glycerophospholipid metabolic process (GO:0006650)	331	137	98.65	+	1.39	1.54E-03	3.51E-02
cell projection organization (GO:0030030)	1221	433	363.90	+	1.19	1.52E-03	3.48E-02
regulation of cytoskeleton organization (GO:0051493)	526	204	156.77	+	1.30	1.52E-03	3.47E-02
digestion (GO:0007586)	114	15	33.98	-	.44	1.52E-03	3.47E-02
multicellular organismal signaling (GO:0035637)	128	18	38.15	-	.47	1.50E-03	3.45E-02
RNA modification (GO:0009451)	172	80	51.26	+	1.56	1.50E-03	3.44E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	109	56	32.49	+	1.72	1.48E-03	3.41E-02
chromosome localization (GO:0050000)	77	43	22.95	+	1.87	1.46E-03	3.37E-02
protein acetylation (GO:0006473)	138	67	41.13	+	1.63	1.46E-03	3.37E-02
fatty acid catabolic process (GO:0009062)	89	48	26.52	+	1.81	1.46E-03	3.36E-02
regulation of membrane potential (GO:0042391)	437	91	130.24	-	.70	1.40E-03	3.25E-02
MAPK cascade (GO:0000165)	402	162	119.81	+	1.35	1.41E-03	3.25E-02
post-translational protein modification (GO:0043687)	361	148	107.59	+	1.38	1.38E-03	3.20E-02
vesicle targeting, to, from or within Golgi (GO:0048199)	70	40	20.86	+	1.92	1.38E-03	3.20E-02
monocarboxylic acid catabolic process (GO:0072329)	114	58	33.98	+	1.71	1.36E-03	3.16E-02
nucleotide metabolic process (GO:0009117)	425	170	126.66	+	1.34	1.33E-03	3.11E-02
neutrophil mediated immunity (GO:0002446)	497	195	148.12	+	1.32	1.33E-03	3.09E-02
peptidyl-serine phosphorylation (GO:0018105)	185	85	55.14	+	1.54	1.32E-03	3.08E-02
lymphocyte migration (GO:0072676)	74	7	22.05	-	.32	1.30E-03	3.04E-02
regulation of ion transmembrane transport (GO:0034765)	502	107	149.61	-	.72	1.27E-03	2.98E-02
tRNA processing (GO:0008033)	134	66	39.94	+	1.65	1.26E-03	2.96E-02
glycerolipid biosynthetic process (GO:0045017)	272	117	81.07	+	1.44	1.25E-03	2.94E-02
cellular response to insulin stimulus (GO:0032869)	174	81	51.86	+	1.56	1.24E-03	2.92E-02
response to oxidative stress (GO:0006979)	390	158	116.23	+	1.36	1.21E-03	2.86E-02
negative regulation of telomere maintenance (GO:0032205)	36	26	10.73	+	2.42	1.20E-03	2.84E-02
lipid biosynthetic process (GO:0008610)	630	240	187.76	+	1.28	1.20E-03	2.83E-02
protein localization to mitochondrion (GO:0070585)	85	47	25.33	+	1.86	1.17E-03	2.78E-02
DNA geometric change (GO:0032392)	110	57	32.78	+	1.74	1.14E-03	2.71E-02
regulation of sister chromatid segregation (GO:0033045)	73	42	21.76	+	1.93	1.13E-03	2.69E-02
vesicle budding from membrane (GO:0006900)	103	54	30.70	+	1.76	1.13E-03	2.68E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	51	28.61	+	1.78	1.12E-03	2.67E-02
interleukin-1-mediated signaling pathway (GO:0070498)	96	51	28.61	+	1.78	1.12E-03	2.67E-02
postreplication repair (GO:0006301)	52	33	15.50	+	2.13	1.07E-03	2.56E-02
regulation of mRNA 3'-end processing (GO:0031440)	28	22	8.34	+	2.64	1.06E-03	2.54E-02
positive regulation of immune response (GO:0050778)	747	170	222.63	-	.76	1.04E-03	2.50E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	61	37	18.18	+	2.04	1.02E-03	2.44E-02
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	61	35.76	+	1.71	9.69E-04	2.33E-02
translational elongation (GO:0006414)	127	64	37.85	+	1.69	9.62E-04	2.32E-02
negative regulation of TOR signaling (GO:0032007)	42	29	12.52	+	2.32	9.36E-04	2.26E-02
granulocyte chemotaxis (GO:0071621)	82	8	24.44	-	.33	9.37E-04	2.26E-02
cytosolic transport (GO:0016482)	148	72	44.11	+	1.63	9.13E-04	2.21E-02
establishment of chromosome localization (GO:0051303)	75	43	22.35	+	1.92	9.09E-04	2.20E-02
regulation of cytosolic calcium ion concentration (GO:0051480)	321	61	95.67	-	.64	9.04E-04	2.20E-02
killing of cells of other organism (GO:0031640)	87	9	25.93	-	.35	8.98E-04	2.18E-02
lysosomal transport (GO:0007041)	111	58	33.08	+	1.75	8.77E-04	2.14E-02
cellular respiration (GO:0045333)	187	87	55.73	+	1.56	8.52E-04	2.09E-02
detection of biotic stimulus (GO:0009595)	38	1	11.33	-	.09	8.54E-04	2.08E-02
generation of precursor metabolites and energy (GO:0006091)	403	164	120.11	+	1.37	8.52E-04	2.08E-02
regulation of binding (GO:0051098)	365	151	108.78	+	1.39	8.48E-04	2.08E-02
negative regulation of catabolic process (GO:0009895)	317	134	94.48	+	1.42	8.42E-04	2.07E-02
gene silencing (GO:0016458)	153	74	45.60	+	1.62	8.34E-04	2.05E-02
cellular response to UV (GO:0034644)	91	50	27.12	+	1.84	8.32E-04	2.05E-02
muscle contraction (GO:0006936)	241	42	71.83	-	.58	8.05E-04	1.99E-02
protein transmembrane transport (GO:0071806)	58	36	17.29	+	2.08	8.06E-04	1.99E-02
establishment of cell polarity (GO:0030010)	122	62	36.36	+	1.71	8.01E-04	1.98E-02
nucleoside phosphate metabolic process (GO:0006753)	436	176	129.94	+	1.35	7.78E-04	1.93E-02
cellular response to extracellular stimulus (GO:0031668)	269	117	80.17	+	1.46	7.79E-04	1.93E-02
post-Golgi vesicle-mediated transport (GO:0006892)	136	68	40.53	+	1.68	7.72E-04	1.92E-02
regulation of response to external stimulus (GO:0032101)	1199	289	357.34	-	.81	7.68E-04	1.91E-02
sensory perception of light stimulus (GO:0050953)	220	37	65.57	-	.56	7.59E-04	1.89E-02
negative regulation of cellular catabolic process (GO:0031330)	257	113	76.59	+	1.48	7.48E-04	1.87E-02
muscle system process (GO:0003012)	288	53	85.83	-	.62	7.36E-04	1.84E-02
post-transcriptional gene silencing by RNA (GO:0035194)	57	36	16.99	+	2.12	7.23E-04	1.81E-02
negative regulation of protein modification process (GO:0031400)	558	218	166.30	+	1.31	7.21E-04	1.81E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	435	361.22	+	1.20	7.02E-04	1.76E-02
establishment or maintenance of cell polarity (GO:0007163)	197	91	58.71	+	1.55	6.97E-04	1.75E-02
response to external stimulus (GO:0009605)	2525	655	752.53	-	.87	6.93E-04	1.75E-02
visual perception (GO:0007601)	217	36	64.67	-	.56	6.84E-04	1.73E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	49	25.93	+	1.89	6.60E-04	1.67E-02
protein acylation (GO:0043543)	178	84	53.05	+	1.58	6.61E-04	1.67E-02
ER-nucleus signaling pathway (GO:0006984)	39	28	11.62	+	2.41	6.51E-04	1.65E-02
membrane invagination (GO:0010324)	148	21	44.11	-	.48	6.48E-04	1.65E-02
granulocyte migration (GO:0097530)	95	10	28.31	-	.35	6.41E-04	1.63E-02
cellular protein complex disassembly (GO:0043624)	138	69	41.13	+	1.68	6.31E-04	1.61E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	64	39	19.07	+	2.04	6.07E-04	1.55E-02
positive regulation of proteolysis (GO:0045862)	376	156	112.06	+	1.39	5.79E-04	1.48E-02
regulation of blood circulation (GO:1903522)	278	50	82.85	-	.60	5.75E-04	1.47E-02
regulation of organelle assembly (GO:1902115)	190	89	56.63	+	1.57	5.68E-04	1.46E-02
regulation of chromosome separation (GO:1905818)	73	43	21.76	+	1.98	5.56E-04	1.43E-02
regulation of establishment of protein localization to mitochondrion (GO:1903747)	73	43	21.76	+	1.98	5.56E-04	1.43E-02
mitochondrial gene expression (GO:0140053)	142	71	42.32	+	1.68	5.51E-04	1.42E-02
glycerophospholipid biosynthetic process (GO:0046474)	252	112	75.10	+	1.49	5.41E-04	1.40E-02
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	197	92	58.71	+	1.57	5.39E-04	1.40E-02
cotranslational protein targeting to membrane (GO:0006613)	101	55	30.10	+	1.83	5.29E-04	1.37E-02
response to insulin (GO:0032868)	241	108	71.83	+	1.50	5.26E-04	1.37E-02
gene silencing by RNA (GO:0031047)	89	50	26.52	+	1.89	5.25E-04	1.37E-02
vacuolar transport (GO:0007034)	155	76	46.20	+	1.65	5.17E-04	1.35E-02
posttranscriptional gene silencing (GO:0016441)	62	39	18.48	+	2.11	4.92E-04	1.28E-02
phosphatidylinositol biosynthetic process (GO:0006661)	144	72	42.92	+	1.68	4.55E-04	1.19E-02
regulation of protein kinase activity (GO:0045859)	802	303	239.02	+	1.27	4.47E-04	1.17E-02
regulation of membrane permeability (GO:0090559)	91	51	27.12	+	1.88	4.30E-04	1.13E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	51	27.12	+	1.88	4.30E-04	1.13E-02
spindle assembly (GO:0051225)	91	51	27.12	+	1.88	4.30E-04	1.13E-02
intrinsic apoptotic signaling pathway (GO:0097193)	150	75	44.71	+	1.68	4.26E-04	1.12E-02
cell chemotaxis (GO:0060326)	203	32	60.50	-	.53	4.25E-04	1.12E-02
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	5	20.56	-	.24	4.22E-04	1.11E-02
cellular response to amino acid starvation (GO:0034198)	80	47	23.84	+	1.97	4.17E-04	1.11E-02
intracellular protein transmembrane transport (GO:0065002)	51	34	15.20	+	2.24	4.18E-04	1.11E-02
RNA phosphodiester bond hydrolysis (GO:0090501)	164	80	48.88	+	1.64	4.13E-04	1.10E-02
negative regulation of intracellular signal transduction (GO:1902532)	507	203	151.10	+	1.34	4.12E-04	1.10E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	85	49	25.33	+	1.93	4.05E-04	1.08E-02
endoplasmic reticulum organization (GO:0007029)	102	56	30.40	+	1.84	4.00E-04	1.07E-02
viral life cycle (GO:0019058)	230	105	68.55	+	1.53	3.97E-04	1.06E-02
cell cycle DNA replication (GO:0044786)	55	36	16.39	+	2.20	3.95E-04	1.06E-02
regulation of chromosome segregation (GO:0051983)	90	51	26.82	+	1.90	3.93E-04	1.05E-02
potassium ion transport (GO:0006813)	167	24	49.77	-	.48	3.68E-04	9.90E-03
response to amino acid starvation (GO:1990928)	83	48	24.74	+	1.94	3.67E-04	9.89E-03
nuclear membrane organization (GO:0071763)	73	44	21.76	+	2.02	3.66E-04	9.87E-03
regulation of signaling (GO:0023051)	3545	1179	1056.53	+	1.12	3.63E-04	9.81E-03
nuclear DNA replication (GO:0033260)	54	36	16.09	+	2.24	3.53E-04	9.57E-03
myeloid leukocyte migration (GO:0097529)	124	15	36.96	-	.41	3.54E-04	9.57E-03
sensory perception of bitter taste (GO:0050913)	41	1	12.22	-	.08	3.51E-04	9.53E-03
protein methylation (GO:0006479)	131	68	39.04	+	1.74	3.46E-04	9.44E-03
protein alkylation (GO:0008213)	131	68	39.04	+	1.74	3.46E-04	9.43E-03
regulation of generation of precursor metabolites and energy (GO:0043467)	167	82	49.77	+	1.65	3.46E-04	9.42E-03
leukocyte chemotaxis (GO:0030595)	143	19	42.62	-	.45	3.42E-04	9.36E-03
regulation of centrosome cycle (GO:0046605)	49	34	14.60	+	2.33	3.26E-04	8.94E-03
autophagosome assembly (GO:0000045)	66	41	19.67	+	2.08	3.22E-04	8.84E-03
regulation of centrosome duplication (GO:0010824)	45	32	13.41	+	2.39	3.22E-04	8.84E-03
phospholipid metabolic process (GO:0006644)	398	166	118.62	+	1.40	3.20E-04	8.80E-03
regulation of small molecule metabolic process (GO:0062012)	421	174	125.47	+	1.39	3.15E-04	8.69E-03
regulation of cation channel activity (GO:2001257)	186	28	55.43	-	.51	3.14E-04	8.66E-03
locomotion (GO:0040011)	1345	324	400.86	-	.81	3.09E-04	8.55E-03
regulation of response to endoplasmic reticulum stress (GO:1905897)	86	50	25.63	+	1.95	3.00E-04	8.33E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	62	34.27	+	1.81	2.99E-04	8.31E-03
autophagosome organization (GO:1905037)	70	43	20.86	+	2.06	2.93E-04	8.15E-03
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	34	0	10.13	-	 < 0.01	2.79E-04	7.79E-03
DNA conformation change (GO:0071103)	312	136	92.99	+	1.46	2.78E-04	7.75E-03
regulation of cell communication (GO:0010646)	3509	1170	1045.80	+	1.12	2.77E-04	7.74E-03
microtubule-based movement (GO:0007018)	354	151	105.50	+	1.43	2.73E-04	7.65E-03
nuclear envelope organization (GO:0006998)	84	49	25.03	+	1.96	2.72E-04	7.64E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	63	35.17	+	1.79	2.61E-04	7.34E-03
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	61	33.38	+	1.83	2.55E-04	7.18E-03
cell-cell signaling by wnt (GO:0198738)	350	150	104.31	+	1.44	2.53E-04	7.15E-03
Wnt signaling pathway (GO:0016055)	350	150	104.31	+	1.44	2.53E-04	7.14E-03
regulation of DNA repair (GO:0006282)	130	68	38.74	+	1.76	2.47E-04	6.99E-03
positive regulation of mRNA catabolic process (GO:0061014)	105	58	31.29	+	1.85	2.45E-04	6.94E-03
DNA biosynthetic process (GO:0071897)	117	63	34.87	+	1.81	2.41E-04	6.85E-03
energy derivation by oxidation of organic compounds (GO:0015980)	256	116	76.30	+	1.52	2.39E-04	6.81E-03
vesicle organization (GO:0016050)	313	137	93.28	+	1.47	2.29E-04	6.54E-03
cell cycle G1/S phase transition (GO:0044843)	104	58	31.00	+	1.87	2.27E-04	6.48E-03
mitotic spindle assembly (GO:0090307)	46	33	13.71	+	2.41	2.25E-04	6.45E-03
epidermal cell differentiation (GO:0009913)	322	58	95.97	-	.60	2.18E-04	6.25E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	57	30.40	+	1.88	2.09E-04	6.01E-03
G1/S transition of mitotic cell cycle (GO:0000082)	102	57	30.40	+	1.88	2.09E-04	6.00E-03
negative regulation of cellular component organization (GO:0051129)	724	280	215.78	+	1.30	2.05E-04	5.90E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	60	32.19	+	1.86	2.04E-04	5.88E-03
cellular response to nutrient levels (GO:0031669)	240	111	71.53	+	1.55	1.99E-04	5.75E-03
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	46	22.35	+	2.06	1.95E-04	5.67E-03
RNA transport (GO:0050658)	189	92	56.33	+	1.63	1.93E-04	5.62E-03
nucleic acid transport (GO:0050657)	189	92	56.33	+	1.63	1.93E-04	5.61E-03
positive regulation of protein catabolic process (GO:0045732)	237	110	70.63	+	1.56	1.83E-04	5.33E-03
DNA-templated transcription, elongation (GO:0006354)	79	48	23.54	+	2.04	1.80E-04	5.25E-03
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	10.73	-	 < 0.01	1.79E-04	5.25E-03
translational initiation (GO:0006413)	143	74	42.62	+	1.74	1.77E-04	5.19E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	79	46.49	+	1.70	1.74E-04	5.10E-03
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	4	19.97	-	.20	1.72E-04	5.08E-03
immunoglobulin production (GO:0002377)	138	17	41.13	-	.41	1.68E-04	4.98E-03
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	10	30.40	-	.33	1.69E-04	4.97E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	71	40.23	+	1.76	1.66E-04	4.91E-03
nucleus organization (GO:0006997)	148	76	44.11	+	1.72	1.66E-04	4.91E-03
centrosome cycle (GO:0007098)	88	52	26.23	+	1.98	1.64E-04	4.88E-03
mRNA export from nucleus (GO:0006406)	110	61	32.78	+	1.86	1.63E-04	4.87E-03
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	61	32.78	+	1.86	1.63E-04	4.86E-03
regulation of kinase activity (GO:0043549)	914	345	272.40	+	1.27	1.58E-04	4.73E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	71	39.94	+	1.78	1.57E-04	4.70E-03
negative regulation of signaling (GO:0023057)	1405	507	418.74	+	1.21	1.55E-04	4.65E-03
protein stabilization (GO:0050821)	198	96	59.01	+	1.63	1.54E-04	4.62E-03
negative regulation of cell communication (GO:0010648)	1401	506	417.54	+	1.21	1.52E-04	4.57E-03
negative regulation of organelle organization (GO:0010639)	334	146	99.54	+	1.47	1.51E-04	4.55E-03
vesicle localization (GO:0051648)	212	101	63.18	+	1.60	1.45E-04	4.38E-03
positive regulation of immune system process (GO:0002684)	1069	246	318.60	-	.77	1.43E-04	4.32E-03
regulation of phosphate metabolic process (GO:0019220)	1578	564	470.30	+	1.20	1.42E-04	4.30E-03
regulation of phosphorus metabolic process (GO:0051174)	1578	564	470.30	+	1.20	1.42E-04	4.29E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	515	210	153.49	+	1.37	1.39E-04	4.24E-03
apoptotic signaling pathway (GO:0097190)	281	127	83.75	+	1.52	1.39E-04	4.24E-03
regulation of immune response (GO:0050776)	1183	276	352.57	-	.78	1.37E-04	4.20E-03
protein targeting to ER (GO:0045047)	112	62	33.38	+	1.86	1.35E-04	4.13E-03
regulation of phosphorylation (GO:0042325)	1391	504	414.56	+	1.22	1.29E-04	3.97E-03
production of molecular mediator of immune response (GO:0002440)	141	17	42.02	-	.40	1.27E-04	3.90E-03
negative regulation of chromosome organization (GO:2001251)	79	49	23.54	+	2.08	1.22E-04	3.76E-03
establishment of RNA localization (GO:0051236)	191	94	56.92	+	1.65	1.20E-04	3.72E-03
vesicle targeting (GO:0006903)	94	55	28.02	+	1.96	1.20E-04	3.71E-03
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	64	34.57	+	1.85	1.19E-04	3.68E-03
organic cyclic compound catabolic process (GO:1901361)	466	194	138.88	+	1.40	1.17E-04	3.64E-03
mRNA 3'-end processing (GO:0031124)	88	53	26.23	+	2.02	1.13E-04	3.52E-03
cellular response to radiation (GO:0071478)	181	90	53.94	+	1.67	1.10E-04	3.43E-03
protein import (GO:0017038)	158	81	47.09	+	1.72	1.05E-04	3.27E-03
regulation of protein transport (GO:0051223)	556	226	165.71	+	1.36	9.97E-05	3.12E-03
positive regulation of translation (GO:0045727)	137	73	40.83	+	1.79	9.73E-05	3.05E-03
positive regulation of transferase activity (GO:0051347)	693	273	206.54	+	1.32	9.57E-05	3.01E-03
RNA 3'-end processing (GO:0031123)	142	75	42.32	+	1.77	9.21E-05	2.90E-03
positive regulation of cell cycle (GO:0045787)	310	139	92.39	+	1.50	8.93E-05	2.82E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	83	47.98	+	1.73	8.64E-05	2.73E-03
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	63	33.08	+	1.90	8.61E-05	2.73E-03
protein localization to membrane (GO:0072657)	542	222	161.53	+	1.37	8.28E-05	2.63E-03
positive regulation of catalytic activity (GO:0043085)	1240	457	369.56	+	1.24	8.15E-05	2.59E-03
embryo development ending in birth or egg hatching (GO:0009792)	633	253	188.66	+	1.34	8.01E-05	2.55E-03
regulation of proteasomal protein catabolic process (GO:0061136)	187	93	55.73	+	1.67	7.96E-05	2.55E-03
regulation of apoptotic signaling pathway (GO:2001233)	354	155	105.50	+	1.47	7.97E-05	2.55E-03
regulation of microtubule-based process (GO:0032886)	242	114	72.12	+	1.58	7.89E-05	2.53E-03
regulation of apoptotic process (GO:0042981)	1493	540	444.96	+	1.21	7.73E-05	2.49E-03
cytoskeleton-dependent intracellular transport (GO:0030705)	194	96	57.82	+	1.66	7.73E-05	2.48E-03
potassium ion transmembrane transport (GO:0071805)	158	20	47.09	-	.42	7.57E-05	2.44E-03
regulation of mitochondrial membrane permeability (GO:0046902)	78	49	23.25	+	2.11	7.53E-05	2.44E-03
telomere organization (GO:0032200)	103	60	30.70	+	1.95	7.32E-05	2.37E-03
RNA export from nucleus (GO:0006405)	124	69	36.96	+	1.87	6.68E-05	2.17E-03
tRNA metabolic process (GO:0006399)	190	95	56.63	+	1.68	6.63E-05	2.17E-03
nucleobase-containing compound transport (GO:0015931)	245	116	73.02	+	1.59	6.66E-05	2.17E-03
positive regulation of cellular amide metabolic process (GO:0034250)	168	86	50.07	+	1.72	6.61E-05	2.16E-03
cellular response to starvation (GO:0009267)	190	95	56.63	+	1.68	6.63E-05	2.16E-03
serotonin receptor signaling pathway (GO:0007210)	39	0	11.62	-	 < 0.01	6.59E-05	2.16E-03
regulation of cellular component biogenesis (GO:0044087)	974	370	290.28	+	1.27	6.39E-05	2.10E-03
regulation of immune system process (GO:0002682)	1717	416	511.72	-	.81	6.31E-05	2.08E-03
mRNA transport (GO:0051028)	160	83	47.69	+	1.74	6.26E-05	2.06E-03
negative regulation of cellular protein metabolic process (GO:0032269)	1040	392	309.95	+	1.26	6.12E-05	2.03E-03
lymphocyte chemotaxis (GO:0048247)	49	1	14.60	-	.07	6.08E-05	2.02E-03
establishment of vesicle localization (GO:0051650)	202	100	60.20	+	1.66	5.97E-05	1.98E-03
positive regulation of protein transport (GO:0051222)	331	148	98.65	+	1.50	5.93E-05	1.97E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	86	49.47	+	1.74	5.91E-05	1.97E-03
viral gene expression (GO:0019080)	172	88	51.26	+	1.72	5.77E-05	1.93E-03
cellular nitrogen compound catabolic process (GO:0044270)	423	181	126.07	+	1.44	5.78E-05	1.93E-03
telomere maintenance (GO:0000723)	99	59	29.51	+	2.00	5.56E-05	1.87E-03
regulation of telomere maintenance via telomerase (GO:0032210)	54	39	16.09	+	2.42	5.51E-05	1.85E-03
plasma membrane invagination (GO:0099024)	141	16	42.02	-	.38	5.36E-05	1.81E-03
